Produktname,Kategorie,Unterkategorie,Preis_EUR,Startdatum,Enddatum,Supermarkt
"Dallmayr prodomo (versch. Sorten, 500g)",Lebensmittel,Kaffee,5.77,2025-04-14,2025-04-19,Penny
"Kerrygold Extra (versch. Sorten, 250g)",Lebensmittel,Milchprodukte/Fette,1.49,2025-04-14,2025-04-19,Penny
"Storck Toffifee (15er Packung, 125g)",Lebensmittel,Süßwaren,0.99,2025-04-14,2025-04-19,Penny
"Rotkäppchen Sekt oder Fruchtsecco (versch. Sorten, 0.75l)",Getränke,Alkoholische Getränke,2.66,2025-04-14,2025-04-19,Penny
"Deutsche Äpfel rot (Kl. I, 1kg Schale)",Lebensmittel,Obst,1.99,2025-04-14,2025-04-19,Penny
"Ferrero Nutella (825g)",Lebensmittel,Brotaufstrich/Süßwaren,3.99,2025-04-14,2025-04-19,Penny
"Helle, kernlose Tafeltrauben (500g)",Lebensmittel,Obst,1.39,2025-04-14,2025-04-19,Penny
"Speisekartoffeln (Herkunft laut Auszeichnung, Qualität I, 2.5kg)",Lebensmittel,Gemüse,1.29,2025-04-14,2025-04-19,Penny
"Deutscher Rhabarber (Kl. I, 1kg)",Lebensmittel,Obst/Gemüse,1.99,2025-04-14,2025-04-19,Penny
"Marktliebe Deutsche Erdbeeren (Kl. I, 750g)",Lebensmittel,Obst,1.99,2025-04-14,2025-04-19,Penny
"Deutscher Spargel weiß/violett (Kl. I, 500g)",Lebensmittel,Gemüse,5.99,2025-04-14,2025-04-19,Penny
"Bundmöhren (Kl. I, Bund)",Lebensmittel,Gemüse,1.29,2025-04-14,2025-04-19,Penny